الكلمة ,التكرار
في,68518
من,41535
على,26430
ان,16915
الى,12257
عن,11304
التي,11241
أن,11044
إلى,8636
العالم,8195
الشرق,7748
الأوسط,7399
مع,7379
الذي,7332
قد,7003
إن,6376
بعد,5670
وقال,5406
آخر,5329
بين,5236
ما,5200
اقتصاد,5187
وأعمال,5075
الرئيسية,5056
رياضة,5037
علوم,5014
وتكنولوجيا,5006
شارك,4896
منوعات,4882
راديو,4776
برأيك,4765
وتلفزيون,4763
المتحدة,4674
لا,4522
تحديث,4486
هذه,4384
هذا,4129
الرئيس,4092
بي,3992
لم,3737
الحكومة,3681
كما,3451
كان,3440
خلال,3413
عام,3390
رئيس,3302
وكان,3073
قبل,3038
الماضي,3034
العراق,2855
وقد,2815
ذلك,2701
قال,2649
الانتخابات,2609
انه,2524
منذ,2506
الثاني,2463
العام,2420
سي,2402
كانت,2378
لكن,2322
الولايات,2301
غير,2220
اسرائيل,2215
الخارجية,2158
القوات,2112
حول,2107
عدد,2063
وكانت,2032
وفي,2000
كل,1977
الذين,1920
كانون,1888
يوم,1842
ايران,1824
حيث,1823
هو,1816
مقتل,1814
الجيش,1811
الوزراء,1811
بعض,1785
هناك,1765
غزة,1747
وزير,1679
الامريكية,1673
الأول,1665
العراقية,1665
البلاد,1657
الدولية,1655
فيها,1652
تشرين,1646
الله,1620
بسبب,1577
أو,1574
السلطات,1569
الشرطة,1542
مدينة,1530
طالبان,1527
حركة,1518
حتى,1516
وهو,1503
بأن,1500
وقالت,1498
السلام,1477
الا,1474
المنطقة,1461
الثلاثاء,1451
الامريكي,1447
مجلس,1445
الاثنين,1436
اوباما,1428
بشأن,1423
الخميس,1420
الدول,1415
و,1412
الأمريكية,1410
ضد,1397
ومن,1388
باسم,1382
دبي,1370
الجمعة,1361
او,1361
منطقة,1344
بها,1334
العاصمة,1317
هي,1310
فيه,1303
البريطانية,1298
أي,1291
تلك,1286
السبت,1281
العراقي,1275
أنه,1269
نحو,1263
حزب,1255
وزارة,1250
إنه,1248
قوات,1241
إسرائيل,1226
أوباما,1221
انها,1220
القاعدة,1215
جنوب,1209
جديدة,1204
الاسرائيلية,1200
الأمريكي,1188
إيران,1183
الصين,1175
ويقول,1172
الحرب,1166
افغانستان,1160
عبد,1160
دولار,1159
الاتحاد,1148
وأضاف,1148
يقول,1148
الاسرائيلي,1144
لن,1144
مصر,1143
وذلك,1133
وكالة,1130
واضاف,1124
اكثر,1123
بغداد,1122
عملية,1122
يمكن,1115
الاربعاء,1109
الدولي,1105
بشكل,1103
القدس,1098
أكثر,1097
السعودية,1093
يذكر,1085
واشنطن,1084
وقت,1084
حماس,1083
الغربية,1053
الفلسطينية,1052
الاحد,1050
اليوم,1049
مارس,1045
شخصا,1044
السودان,1038
مثل,1034
أفغانستان,1033
ولكن,1026
عليها,1020
نتنياهو,1020
له,1019
ثلاثة,1017
عندما,1011
بريطانيا,1001
لها,998
اليمن,997
باراك,997
يناير,997
طهران,994
ديسمبر,990
السابق,986
العربية,986
تم,984
مما,984
باكستان,981
اي,963
فقد,959
قرار,959
النووي,958
البريطاني,953
شمال,952
قالت,951
آذار,937
فيما,937
المئة,933
عبر,926
عاما,915
دون,910
الشهر,907
نوفمبر,902
المقبل,900
بلاده,898
بينما,898
وهي,890
احد,889
ولا,889
الوقت,887
مليون,882
سبتمبر,880
محمد,880
والتي,880
يكون,878
به,869
ولم,866
عليه,865
أحد,859
الامن,859
